fieldsample_barcode	mfd_sampletype	mfd_areatype	mfd_hab1_code	mfd_hab1	mfd_hab2_code	mfd_hab2	mfd_hab3_code	mfd_hab3	latitude	longitude	coords_reliable	env_broad_scale	env_local_scale	env_medium	cur_vegetation	cur_land_use	misc_param_json	underspecified_slots
MFD00020	Soil	Natural		Dunes		Sea dunes		Fixed dunes (grey dunes)	56.80729	10.27531	Yes	temperate shrubland biome [ENVO:01000215]	coastal dune [ENVO:00000416]	soil [ENVO:00001998]	Fixed dunes (grey dunes)	sand		
MFD00021	Soil	Natural		Forests		Temperate forests		Alluvial woodland	55.36789	9.90533	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate freshwater swamp forest [ENVO:01000398]	soil [ENVO:00001998]	Alluvial woodland	hardwoods		
MFD00022	Soil	Natural		Temperate heath and scrub		Temperate heath		Dry heath	55.63553	9.23497	Yes	shrubland biome [ENVO:01000176]	heath [ENVO:00000107]	soil [ENVO:00001998]	Dry heath	shrub land		
MFD00023	Soil	Natural		Bogs, mires and fens		Calcareous fens		Petrifying springs	55.93024	9.76744	Yes	flooded grassland biome [ENVO:01000195]	spring [ENVO:00000027]	soil [ENVO:00001998]	Calcareous fens	marshlands		
MFD00024	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	55.93008	9.76711	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00025	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	55.87478	9.79518	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00026	Soil	Natural		Temperate heath and scrub		Temperate heath		Dry heath	56.05531	9.6263	Yes	shrubland biome [ENVO:01000176]	heath [ENVO:00000107]	soil [ENVO:00001998]	Dry heath	shrub land		
MFD00027	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.9367	9.7285	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00028	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Agricultural meadow (6430 subtype)	55.46346	11.37823	Yes	grassland biome [ENVO:01000177]	wet meadow ecosystem [ENVO:01000449]	soil [ENVO:00001998]	Agricultural meadow (6430 subtype)	meadows		
MFD00029	Soil	Natural		Sclerophyllous scrub		Scrub		Juniper scrub	56.85213	10.25593	Yes	shrubland biome [ENVO:01000176]	juniper woodland [ENVO:01000241]	soil [ENVO:00001998]	Juniper scrub	shrub land		
MFD00030	Soil	Natural		Forests		Temperate forests		Oak-hornbeam mixed forest	55.45758	11.2083	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Oak-hornbeam mixed forest	hardwoods		
MFD00031	Soil	Natural		Forests		Temperate forests		Alluvial woodland	55.41914	11.40765	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate freshwater swamp forest [ENVO:01000398]	soil [ENVO:00001998]	Alluvial woodland	hardwoods		
MFD00032	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	57.491729520817	9.89310944949621	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
MFD00033	Soil	Natural		Dunes		Sea dunes		Fixed dunes (grey dunes)	57.61801	10.33657	Yes	temperate shrubland biome [ENVO:01000215]	coastal dune [ENVO:00000416]	soil [ENVO:00001998]	Fixed dunes (grey dunes)	sand		
MFD00034	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	57.1587588628744	9.85149056169197	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
MFD00035	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	56.4414	9.81461	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00036	Soil	Natural		Bogs, mires and fens		Calcareous fens		Petrifying springs	56.44223	9.81075	Yes	flooded grassland biome [ENVO:01000195]	spring [ENVO:00000027]	soil [ENVO:00001998]	Calcareous fens	marshlands		
MFD00037	Soil	Natural		Bogs, mires and fens		Calcareous fens			56.44228	9.83868	Yes	flooded grassland biome [ENVO:01000195]	fen [ENVO:00000232]	peat soil [ENVO:00005774]	Calcareous fens	marshlands		
MFD00038	Soil	Natural		Bogs, mires and fens		Wet thicket  (non-habitat type)			55.3725	9.89698	Yes	flooded grassland biome [ENVO:01000195]	peatland [ENVO:00000044]	peat soil [ENVO:00005774]	Bogs, mires and fens	swamp		
MFD00039	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.37323	9.87574	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00040	Soil	Natural		Forests		Temperate forests		Alluvial woodland	55.36569	9.90312	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate freshwater swamp forest [ENVO:01000398]	soil [ENVO:00001998]	Alluvial woodland	hardwoods		
MFD00041	Soil	Natural		Temperate heath and scrub		Temperate heath		Wet heath	56.05454	9.62817	Yes	shrubland biome [ENVO:01000176]	heath [ENVO:00000107]	soil [ENVO:00001998]	Wet heath	shrub land		
MFD00042	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	55.37266	9.93004	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00044	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	55.38715	9.93834	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00045	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	56.40766	9.79389	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00046	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	55.38535	9.93972	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00048	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	56.44392	9.81398	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00049	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Molinia meadows	56.86151	10.22613	Yes	grassland biome [ENVO:01000177]	wet meadow ecosystem [ENVO:01000449]	soil [ENVO:00001998]	Molinia meadows	meadows		
MFD00050	Soil	Natural		Dunes		Sea dunes		Fixed dunes (grey dunes)	56.84823	10.26982	Yes	temperate shrubland biome [ENVO:01000215]	coastal dune [ENVO:00000416]	soil [ENVO:00001998]	Fixed dunes (grey dunes)	sand		
MFD00051	Soil	Natural		Forests		Temperate forests			55.56388	8.92736	Yes	temperate broadleaf forest biome [ENVO:01000202]	forest ecosystem [ENVO:01001243]	soil [ENVO:00001998]	Temperate forests	hardwoods		
MFD00052	Soil	Natural		Forests		Temperate forests			55.59741	8.91451	Yes	temperate broadleaf forest biome [ENVO:01000202]	forest ecosystem [ENVO:01001243]	soil [ENVO:00001998]	Temperate forests	hardwoods		
MFD00053	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Molinia meadows	57.48342	10.50563	Yes	grassland biome [ENVO:01000177]	wet meadow ecosystem [ENVO:01000449]	soil [ENVO:00001998]	Molinia meadows	meadows		
MFD00054	Soil	Natural		Sclerophyllous scrub		Scrub		Juniper scrub	56.84222	10.24873	Yes	shrubland biome [ENVO:01000176]	juniper woodland [ENVO:01000241]	soil [ENVO:00001998]	Juniper scrub	shrub land		
MFD00055	Soil	Natural		Forests		Temperate forests		Old acidophilous oak woods with Q. robur on sandy plains	55.56946	8.90629	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Old acidophilous oak woods with Q. robur on sandy plains	hardwoods		
MFD00056	Soil	Natural		Temperate heath and scrub		Temperate heath		Dry heath	56.2239	8.61135	Yes	shrubland biome [ENVO:01000176]	heath [ENVO:00000107]	soil [ENVO:00001998]	Dry heath	shrub land		
MFD00057	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.81215	11.49394	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00058	Soil	Natural		Forests		Temperate forests		Beech forests Asperulo-Fagetum	55.3951	11.36659	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Beech forests Asperulo-Fagetum	hardwoods		
MFD00059	Soil	Natural		Forests		Temperate forests		Old acidophilous oak woods with Q. robur on sandy plains	55.56505	8.91961	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Old acidophilous oak woods with Q. robur on sandy plains	hardwoods		
MFD00060	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	56.83841	9.91584	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00061	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows			55.6053	8.8925	Yes	grassland biome [ENVO:01000177]	wet meadow ecosystem [ENVO:01000449]	soil [ENVO:00001998]	Semi-natural tall-herb humid meadows	meadows		
MFD00062	Soil	Natural		Dunes		Sea dunes		Fixed dunes (grey dunes)	57.03097	10.3637	Yes	temperate shrubland biome [ENVO:01000215]	coastal dune [ENVO:00000416]	soil [ENVO:00001998]	Fixed dunes (grey dunes)	sand		
MFD00063	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.7936	11.51726	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00064	Soil	Natural		Forests		Temperate forests		Beech forests Asperulo-Fagetum	55.2635	11.2816	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	soil [ENVO:00001998]	Beech forests Asperulo-Fagetum	hardwoods		
MFD00065	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.57446	9.33446	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00066	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Molinia meadows	55.66116	9.3801	Yes	grassland biome [ENVO:01000177]	wet meadow ecosystem [ENVO:01000449]	soil [ENVO:00001998]	Molinia meadows	meadows		
MFD00067	Soil	Natural		Bogs, mires and fens		Wet thicket  (non-habitat type)			55.87475	9.29727	Yes	flooded grassland biome [ENVO:01000195]	peatland [ENVO:00000044]	peat soil [ENVO:00005774]	Bogs, mires and fens	swamp		
MFD00068	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	55.87862	9.36095	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00069	Soil	Natural		Temperate heath and scrub		Temperate heath		Wet heath	55.6018	8.8833	Yes	shrubland biome [ENVO:01000176]	heath [ENVO:00000107]	soil [ENVO:00001998]	Wet heath	shrub land		
MFD00070	Soil	Natural		Temperate heath and scrub		Temperate heath		Wet heath	55.58469	9.27894	Yes	shrubland biome [ENVO:01000176]	heath [ENVO:00000107]	soil [ENVO:00001998]	Wet heath	shrub land		
MFD00071	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	56.05408	9.62928	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00072	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Calcareous grassland	55.41854	11.40823	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Calcareous grassland	meadows		
MFD00073	Soil	Natural		Temperate heath and scrub		Temperate heath		Wet heath	56.05568	9.62278	Yes	shrubland biome [ENVO:01000176]	heath [ENVO:00000107]	soil [ENVO:00001998]	Wet heath	shrub land		
MFD00074	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	55.67859	9.30073	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00075	Soil	Natural		Grassland formations		Semi-natural dry grasslands		Species-rich Nardus upland grassland	55.60006	9.34693	Yes	grassland biome [ENVO:01000177]	temperate grassland [ENVO:01001811]	soil [ENVO:00001998]	Species-rich Nardus upland grassland	meadows		
MFD00076	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.37368	9.9242	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00077	Soil	Natural		Bogs, mires and fens		Sphagnum acid bogs			56.8589	10.22508	Yes	flooded grassland biome [ENVO:01000195]	sphagnum bog [ENVO:00002268]	peat soil [ENVO:00005774]	Sphagnum acid bogs	swamp		
MFD00078	Soil	Natural		Bogs, mires and fens		Sphagnum acid bogs		Degraded raised bog	56.87155	10.20075	Yes	flooded grassland biome [ENVO:01000195]	raised mire [ENVO:00000185]	peat soil [ENVO:00005774]	Degraded raised bog	swamp		
MFD00079	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.56901	9.34653	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00080	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Molinia meadows	55.5729	8.91039	Yes	grassland biome [ENVO:01000177]	wet meadow ecosystem [ENVO:01000449]	soil [ENVO:00001998]	Molinia meadows	meadows		
MFD00081	Soil	Natural		Coastal		Salt marshes and salt meadows		Atlantic salt meadows	55.35929	9.87626	Yes	flooded grassland biome [ENVO:01000195]	saline marsh [ENVO:00000054]	soil [ENVO:00001998]	Atlantic salt meadows	marshlands	"[{""has_attribute_label"":""geographic context"",""has_value_term_label"":""Atlantic coast""}]"	
MFD00082	Soil	Natural		Bogs, mires and fens		Sphagnum acid bogs		Degraded raised bog	56.79525	9.974	Yes	flooded grassland biome [ENVO:01000195]	raised mire [ENVO:00000185]	peat soil [ENVO:00005774]	Degraded raised bog	swamp		
MFD00083	Soil	Natural		Sclerophyllous scrub		Scrub		Juniper scrub	55.59831	8.9002	Yes	shrubland biome [ENVO:01000176]	juniper woodland [ENVO:01000241]	soil [ENVO:00001998]	Juniper scrub	shrub land		
MFD00084	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.4305	9.43894	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00085	Soil	Natural		Dunes		Sea dunes		Fixed dunes (grey dunes)	57.6228	10.30861	Yes	temperate shrubland biome [ENVO:01000215]	coastal dune [ENVO:00000416]	soil [ENVO:00001998]	Fixed dunes (grey dunes)	sand		
MFD00086	Soil	Natural		Bogs, mires and fens		Sphagnum acid bogs		Active raised bogs	56.79014	9.9821	Yes	flooded grassland biome [ENVO:01000195]	raised mire [ENVO:00000185]	peat soil [ENVO:00005774]	Active raised bogs	swamp		
MFD00087	Soil	Natural		Forests		Temperate forests			55.59291	8.91251	Yes	temperate broadleaf forest biome [ENVO:01000202]	forest ecosystem [ENVO:01001243]	soil [ENVO:00001998]	Temperate forests	hardwoods		
MFD00088	Soil	Natural		Dunes		Sea dunes		Fixed dunes (grey dunes)	57.6275	10.30594	Yes	temperate shrubland biome [ENVO:01000215]	coastal dune [ENVO:00000416]	soil [ENVO:00001998]	Fixed dunes (grey dunes)	sand		
MFD00089	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	56.767263627342	8.28874735902703	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
MFD00090	Soil	Natural		Forests		Temperate forests		Alluvial woodland	55.27277	11.40341	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate freshwater swamp forest [ENVO:01000398]	soil [ENVO:00001998]	Alluvial woodland	hardwoods		
MFD00091	Sediment	Natural		Freshwater		Standing freshwater		Lake, Mixed Najas flexilis	56.9952901478434	8.48188809096705	Yes	freshwater biome [ENVO:00000873]	mesotrophic lake [ENVO:01000775]	sediment [ENVO:00002007]	Lake, Mixed Najas flexilis			
MFD00092	Sediment	Natural		Freshwater		Standing freshwater		Lake, Dystrophic	57.0549464204777	8.88698991503176	Yes	freshwater biome [ENVO:00000873]	humic lake [ENVO:01001021]	sediment [ENVO:00002007]			"[{""has_attribute_label"":""sample qualifier"",""has_value_term_label"":""dystrophic""}]"	
MFD00093	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	56.7166177567253	9.79911027062357	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
MFD00094	Soil	Natural		Bogs, mires and fens		Wet thicket  (non-habitat type)			55.46202	11.39085	Yes	flooded grassland biome [ENVO:01000195]	peatland [ENVO:00000044]	peat soil [ENVO:00005774]	Bogs, mires and fens	swamp		
MFD00095	Sediment	Natural		Freshwater		Standing freshwater		Lake, Mixed Najas flexilis	56.8686173362989	9.41527799831771	Yes	freshwater biome [ENVO:00000873]	mesotrophic lake [ENVO:01000775]	sediment [ENVO:00002007]	Lake, Mixed Najas flexilis			
MFD00096	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	57.0408517881636	9.86001454623672	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
MFD00097	Sediment	Natural		Freshwater		Standing freshwater		Lake, Mixed Najas flexilis	56.8732659795208	8.32932662448709	Yes	freshwater biome [ENVO:00000873]	mesotrophic lake [ENVO:01000775]	sediment [ENVO:00002007]	Lake, Mixed Najas flexilis			
MFD00098	Soil	Natural		Bogs, mires and fens		Wet thicket  (non-habitat type)			55.46255	11.38659	Yes	flooded grassland biome [ENVO:01000195]	peatland [ENVO:00000044]	peat soil [ENVO:00005774]	Bogs, mires and fens	swamp		
MFD00099	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	56.8186910441469	8.31655713491552	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
MFD00100	Sediment	Natural		Freshwater		Standing freshwater		Lake shores and lagoons	56.6989249125699	8.51160484303024	Yes	freshwater biome [ENVO:00000873]	lagoon [ENVO:00000038]	sediment [ENVO:00002007]				
MFD00101	Sediment	Natural		Freshwater		Standing freshwater		Lake shores and lagoons	56.8682811259014	8.82751634317905	Yes	freshwater biome [ENVO:00000873]	lagoon [ENVO:00000038]	sediment [ENVO:00002007]				
MFD00102	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.45542	11.21523	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00103	Soil	Natural		Bogs, mires and fens		Calcareous fens		Alkaline fens	55.40668	11.28997	Yes	flooded grassland biome [ENVO:01000195]	fen [ENVO:00000232]	peat soil [ENVO:00005774]	Alkaline fens	marshlands		
MFD00104	Sediment	Natural		Freshwater		Standing freshwater		Lake, Dystrophic	56.9370683330188	8.59415070566422	Yes	freshwater biome [ENVO:00000873]	humic lake [ENVO:01001021]	sediment [ENVO:00002007]			"[{""has_attribute_label"":""sample qualifier"",""has_value_term_label"":""dystrophic""}]"	
MFD00105	Sediment	Natural		Freshwater		Standing freshwater			56.8363412165181	8.31594059945988	Yes	freshwater biome [ENVO:00000873]	lake [ENVO:00000020]	sediment [ENVO:00002007]				
MFD00106	Sediment	Natural		Freshwater		Standing freshwater		Lake, Mixed Najas flexilis	56.9963093151107	8.47637624683284	Yes	freshwater biome [ENVO:00000873]	mesotrophic lake [ENVO:01000775]	sediment [ENVO:00002007]	Lake, Mixed Najas flexilis			
MFD00107	Soil	Natural		Forests		Temperate forests		Alluvial woodland	55.31738	11.40879	Yes	temperate broadleaf forest biome [ENVO:01000202]	temperate freshwater swamp forest [ENVO:01000398]	soil [ENVO:00001998]	Alluvial woodland	hardwoods		
MFD00108	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	56.9758116457106	9.92869757133289	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
MFD00109	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	57.3579957895512	10.2641343190817	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
MFD00110	Soil	Natural		Grassland formations		Semi-natural tall-herb humid meadows		Hydrophilous tall-herb swamp	55.3642	11.2039	Yes	grassland biome [ENVO:01000177]	freshwater marsh [ENVO:00000053]	soil [ENVO:00001998]	Hydrophilous tall-herb swamp	meadows		
MFD00111	Sediment	Natural		Freshwater		Standing freshwater		Lake, Rich pondweed	56.7026251225137	9.85783797733241	Yes	freshwater biome [ENVO:00000873]	eutrophic lake [ENVO:01000548]	sediment [ENVO:00002007]	Lake, Rich pondweed			
