coord_key	n_samples	country	state	municipality	town	type	class	display_name
54.7608,11.8386		Danmark	Region Sjælland	Guldborgsund Kommune	Nykøbing Falster	farm	place	Færgegård, Brohusene, Nykøbing Falster, Guldborgsund Kommune, Region Sjælland, 4800, Danmark
54.7608,11.8387		Danmark	Region Sjælland	Guldborgsund Kommune	Nykøbing Falster	farm	place	Færgegård, Brohusene, Nykøbing Falster, Guldborgsund Kommune, Region Sjælland, 4800, Danmark
54.7656,11.5114		Danmark	Region Sjælland	Lolland Kommune	Hunseby	village	place	Hunseby, Lolland Kommune, Region Sjælland, 4930, Danmark
54.7661,11.511		Danmark	Region Sjælland	Lolland Kommune	Hunseby	village	place	Hunseby, Lolland Kommune, Region Sjælland, 4930, Danmark
54.7691,11.8461		Danmark	Region Sjælland	Guldborgsund Kommune	Nykøbing Falster	farm	place	Færgegård, Brohusene, Nykøbing Falster, Guldborgsund Kommune, Region Sjælland, 4800, Danmark
54.7694,11.8455		Danmark	Region Sjælland	Guldborgsund Kommune	Nykøbing Falster	farm	place	Færgegård, Brohusene, Nykøbing Falster, Guldborgsund Kommune, Region Sjælland, 4800, Danmark
54.7698,11.8743		Danmark	Region Sjælland	Guldborgsund Kommune	Nykøbing Falster	farm	place	Færgegård, Brohusene, Nykøbing Falster, Guldborgsund Kommune, Region Sjælland, 4800, Danmark
54.7702,11.8744		Danmark	Region Sjælland	Guldborgsund Kommune	Nykøbing Falster	farm	place	Færgegård, Brohusene, Nykøbing Falster, Guldborgsund Kommune, Region Sjælland, 4800, Danmark
54.7712,15.1886								
54.7718,11.5283		Danmark	Region Sjælland	Lolland Kommune	Maribo	hamlet	place	Refshale, Maribo, Lolland Kommune, Region Sjælland, 4930, Danmark
54.7728,11.4959		Danmark	Region Sjælland	Lolland Kommune	Maribo	hamlet	place	Grimstrup, Maribo, Lolland Kommune, Region Sjælland, 4930, Danmark
54.773,11.5024		Danmark	Region Sjælland	Lolland Kommune	Hunseby	village	place	Hunseby, Lolland Kommune, Region Sjælland, 4930, Danmark
54.7738,11.8813		Danmark	Region Sjælland	Guldborgsund Kommune	Nordbyen	village	place	Nordbyen, Guldborgsund Kommune, Region Sjælland, 4800, Danmark
54.7804,11.805		Danmark	Region Sjælland	Guldborgsund Kommune	Skibeholt	hamlet	place	Skibeholt, Guldborgsund Kommune, Region Sjælland, 4891, Danmark
54.7833,11.8904		Danmark	Region Sjælland	Guldborgsund Kommune	Nordbyen	hamlet	place	Bangsebro, Nordbyen, Guldborgsund Kommune, Region Sjælland, 4800, Danmark
54.7842,12.0326		Danmark	Region Sjælland	Guldborgsund Kommune	Tunderup	farm	place	Vihavgård, Tunderup, Guldborgsund Kommune, Region Sjælland, 4871, Danmark
54.7861,11.8113		Danmark	Region Sjælland	Guldborgsund Kommune	Skibeholt	hamlet	place	Skibeholt, Guldborgsund Kommune, Region Sjælland, 4891, Danmark
54.7909,10.7356		Danmark	Region Syddanmark	Langeland Kommune	Fredmose	hamlet	place	Fredmose, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.791,10.7363		Danmark	Region Syddanmark	Langeland Kommune	Fredmose	hamlet	place	Fredmose, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.7916,11.722		Danmark	Region Sjælland	Guldborgsund Kommune	Pogemosetofte	farm	place	Karlsbjerggård, Pogemosetofte, Guldborgsund Kommune, Region Sjælland, Danmark
54.7961,12.0997		Danmark	Region Sjælland	Guldborgsund Kommune	Skjoltrup	hamlet	place	Skjoltrup, Guldborgsund Kommune, Region Sjælland, 4871, Danmark
54.7973,11.6393		Danmark	Region Sjælland	Guldborgsund Kommune	Sakskøbing	farm	place	Saxenhøj Økologisk Besøgsgård og Gårdbutik, Stenstrup Huse, Sakskøbing, Guldborgsund Kommune, Region Sjælland, 4990, Danmark
54.7997,11.6384		Danmark	Region Sjælland	Guldborgsund Kommune	Sakskøbing	farm	place	Saxenhøj Økologisk Besøgsgård og Gårdbutik, Stenstrup Huse, Sakskøbing, Guldborgsund Kommune, Region Sjælland, 4990, Danmark
54.8001,11.6388		Danmark	Region Sjælland	Guldborgsund Kommune	Sakskøbing	farm	place	Saxenhøj Økologisk Besøgsgård og Gårdbutik, Stenstrup Huse, Sakskøbing, Guldborgsund Kommune, Region Sjælland, 4990, Danmark
54.8021,10.7052		Danmark	Region Syddanmark	Langeland Kommune	Tryggelev	hamlet	place	Tryggelev, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.803,11.6276		Danmark	Region Sjælland	Guldborgsund Kommune	Sakskøbing	farm	place	Saxenhøj Økologisk Besøgsgård og Gårdbutik, Stenstrup Huse, Sakskøbing, Guldborgsund Kommune, Region Sjælland, 4990, Danmark
54.8035,11.627		Danmark	Region Sjælland	Guldborgsund Kommune	Sakskøbing	farm	place	Saxenhøj Økologisk Besøgsgård og Gårdbutik, Stenstrup Huse, Sakskøbing, Guldborgsund Kommune, Region Sjælland, 4990, Danmark
54.804,11.1003		Danmark	Region Sjælland	Lolland Kommune	Vestenskov	hamlet	place	Savnsø, Vestenskov, Lolland Kommune, Region Sjælland, 4900, Danmark
54.8078,10.6927		Danmark	Region Syddanmark	Langeland Kommune	Nørreballe	hamlet	place	Nørreballe, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.8086,14.4764								
54.8089,10.7894		Danmark				administrative	boundary	Danmark
54.8111,10.6338		Danmark	Region Syddanmark	Langeland Kommune	Ristinge	hamlet	place	Ristinge, Langeland Kommune, Region Syddanmark, 5932, Danmark
54.8123,14.1964								
