envo_curie	envo_label	anchor_roots
ENVO:00000289	horst	astronomical body part
ENVO:00000290	graben	astronomical body part
ENVO:00000291	drainage basin	astronomical body part
ENVO:00000292	watershed	astronomical body part
ENVO:00000293	continental divide	astronomical body part
ENVO:00000295	fish hatchery	astronomical body part
ENVO:00000296	rice field	astronomical body part
ENVO:00000297	paddy field	astronomical body part
ENVO:00000298	marine iceberg	astronomical body part
ENVO:00000299	ice field	astronomical body part
ENVO:00000300	scrubland area	astronomical body part|environmental zone
ENVO:00000301	chaparral area	astronomical body part|environmental zone
ENVO:00000302	rift valley	astronomical body part
ENVO:00000303	sea coast	astronomical body part
ENVO:00000304	shore	astronomical body part
ENVO:00000305	peninsula	astronomical body part
ENVO:00000306	spit	astronomical body part
ENVO:00000307	icefall	astronomical body part
ENVO:00000308	dune slack	astronomical body part
ENVO:00000309	depressed landform	astronomical body part
ENVO:00000310	meteor impact crater	astronomical body part
ENVO:00000311	kettle	astronomical body part
ENVO:00000312	sandur	astronomical body part
ENVO:00000313	blowout	astronomical body part
ENVO:00000314	alluvial fan	astronomical body part
ENVO:00000315	bajada	astronomical body part
ENVO:00000316	intertidal zone	astronomical body part
ENVO:00000317	tidal pool	astronomical body part
ENVO:00000318	high tide zone	astronomical body part
ENVO:00000319	low tide zone	astronomical body part
ENVO:00000320	crevasse	astronomical body part
ENVO:00000321	joint-plane cave	astronomical body part
ENVO:00000322	volcanic cave	astronomical body part
ENVO:00000323	live cave	astronomical body part
ENVO:00000324	outflow cave	astronomical body part
ENVO:00000325	polje	astronomical body part
ENVO:00000326	sea cave	astronomical body part
ENVO:00000327	speleothem	astronomical body part
ENVO:00000329	phreatic zone	astronomical body part
ENVO:00000330	stalagmite	astronomical body part
ENVO:00000331	stalactite	astronomical body part
ENVO:00000332	doline	astronomical body part
ENVO:00000333	subjacent karst	astronomical body part
ENVO:00000334	syngenetic karst	astronomical body part
ENVO:00000335	polygonal karst	astronomical body part
ENVO:00000336	doline karst	astronomical body part
ENVO:00000342	ice cap dome	astronomical body part
ENVO:00000344	grain of desert sand	astronomical body part
ENVO:00000345	grain of beach sand	astronomical body part
ENVO:00000346	grain of acid dune sand	astronomical body part
ENVO:00000350	somma volcano	astronomical body part
ENVO:00000351	volcanic arc	astronomical body part
ENVO:00000352	continental arc	astronomical body part
ENVO:00000353	island arc	astronomical body part
ENVO:00000354	volcanic field	astronomical body part
ENVO:00000355	monogenetic volcanic field	astronomical body part
ENVO:00000356	pyroclastic cone	astronomical body part
ENVO:00000357	lock	astronomical body part
ENVO:00000368	ephemeral island	astronomical body part
ENVO:00000369	brine pool	astronomical body part
ENVO:00000370	tuya	astronomical body part
ENVO:00000371	complex volcano	astronomical body part
ENVO:00000372	pyroclastic shield volcano	astronomical body part
ENVO:00000377	artificial lake	astronomical body part
ENVO:00000378	canal head reservoir	astronomical body part
ENVO:00000380	ice shelf	astronomical body part
ENVO:00000381	massif	astronomical body part
ENVO:00000382	lake shore	astronomical body part
ENVO:00000383	stream bed	astronomical body part
ENVO:00000384	river bed	astronomical body part
ENVO:00000385	stream mouth	astronomical body part
ENVO:00000386	river mouth	astronomical body part
ENVO:00000387	container of an intermittent lake	astronomical body part
ENVO:00000389	intermittent wetland	wetland ecosystem
ENVO:00000390	mountain spur	astronomical body part
ENVO:00000391	land bridge	astronomical body part
ENVO:00000392	ice tongue	astronomical body part
ENVO:00000393	sound	astronomical body part
ENVO:00000394	strait	astronomical body part
ENVO:00000395	channel of a watercourse	astronomical body part
ENVO:00000396	marine channel	astronomical body part
ENVO:00000397	lake channel	astronomical body part
ENVO:00000398	volcanic cone	astronomical body part
ENVO:00000399	ash cone	astronomical body part
ENVO:00000400	cinder cone	astronomical body part
ENVO:00000401	spatter cone	astronomical body part
ENVO:00000402	mud volcano	astronomical body part
ENVO:00000403	shield volcano	astronomical body part
ENVO:00000404	stratovolcano	astronomical body part
ENVO:00000406	mid-ocean ridge	astronomical body part
ENVO:00000407	subglacial volcano	astronomical body part
ENVO:00000408	volcanic fissure	astronomical body part
ENVO:00000409	whirlpool	astronomical body part
ENVO:00000410	kipuka	astronomical body part
ENVO:00000411	ford	astronomical body part
ENVO:00000412	tidal watercourse	astronomical body part
ENVO:00000413	pingo	astronomical body part
ENVO:00000414	natural arch	astronomical body part
ENVO:00000415	raised beach	astronomical body part
ENVO:00000416	coastal dune	astronomical body part
ENVO:00000417	machair	astronomical body part
ENVO:00000418	ria	astronomical body part
ENVO:00000419	stack	astronomical body part
ENVO:00000420	tombolo	astronomical body part
ENVO:00000421	wave-cut platform	astronomical body part
ENVO:00000422	limestone pavement	astronomical body part
ENVO:00000423	river island	astronomical body part
ENVO:00000424	lake island	astronomical body part
ENVO:00000426	ocean floor	astronomical body part
ENVO:00000427	meander	astronomical body part
ENVO:00000429	arete	astronomical body part
ENVO:00000430	dirt cone	astronomical body part
ENVO:00000431	drumlin field	astronomical body part
ENVO:00000432	monadnock	astronomical body part
ENVO:00000433	kame terrace	astronomical body part
ENVO:00000434	outwash fan	astronomical body part
ENVO:00000435	proglacial lake	astronomical body part
ENVO:00000436	tunnel valley	astronomical body part
ENVO:00000437	Nye channel	astronomical body part
ENVO:00000438	alas	astronomical body part
ENVO:00000439	dell	astronomical body part
ENVO:00000440	rock shelter	astronomical body part
ENVO:00000441	terracette	astronomical body part
ENVO:00000442	maelstrom	astronomical body part
ENVO:00000443	flood control reservoir	astronomical body part
ENVO:00000444	woodland clearing	astronomical body part
ENVO:00000445	transvasement	astronomical body part
ENVO:00000448	hydroelectric reservoir	astronomical body part
ENVO:00000449	drinking water reservoir	astronomical body part
ENVO:00000450	irrigation reservoir	astronomical body part
ENVO:00000451	amenity lake	astronomical body part
ENVO:00000452	ribbon lake	astronomical body part
ENVO:00000453	liman	astronomical body part
ENVO:00000454	turlough	astronomical body part
ENVO:00000455	tarn	astronomical body part
ENVO:00000460	penplain	astronomical body part
ENVO:00000461	pseudocrater	astronomical body part
ENVO:00000462	polygenetic volcanic field	astronomical body part
ENVO:00000463	harbour	astronomical body part
ENVO:00000464	artificial harbor	astronomical body part
ENVO:00000465	natural harbor	astronomical body part
ENVO:00000467	university campus	astronomical body part
ENVO:00000468	hydroelectric dam	astronomical body part
ENVO:00000469	research facility	astronomical body part
ENVO:00000470	irrigation dam	astronomical body part
ENVO:00000471	flood control dam	astronomical body part
ENVO:00000472	backwater	astronomical body part
ENVO:00000473	gravel pit	astronomical body part
ENVO:00000474	cut	astronomical body part
ENVO:00000475	inlet	astronomical body part
ENVO:00000476	lake inlet	astronomical body part
ENVO:00000477	mount	astronomical body part
ENVO:00000478	range of mounts	astronomical body part
ENVO:00000479	mouth	astronomical body part
ENVO:00000480	peak	astronomical body part
ENVO:00000481	pinnacle	astronomical body part
ENVO:00000482	sea floor	astronomical body part
ENVO:00000483	plunge pool	astronomical body part
ENVO:00000484	polynya	astronomical body part
ENVO:00000485	sea shore	astronomical body part
ENVO:00000487	paternoster lake	astronomical body part
ENVO:00000488	glacial lake	astronomical body part
ENVO:00000489	palsa	astronomical body part
ENVO:00000490	consequent stream	astronomical body part
ENVO:00000491	subsequent stream	astronomical body part
ENVO:00000492	resequent stream	astronomical body part
ENVO:00000493	obsequent stream	astronomical body part
ENVO:00000494	insequent stream	astronomical body part
ENVO:00000495	tributary	astronomical body part
ENVO:00000496	rill	astronomical body part
ENVO:00000497	rincon	astronomical body part
ENVO:00000498	volcanic dike	astronomical body part
ENVO:00000499	trough	astronomical body part
ENVO:00000501	submerged bed	astronomical body part
ENVO:00000502	container of an intermittent saline lake	astronomical body part
ENVO:00000503	container of an intermittent oxbow lake	astronomical body part
ENVO:00000504	container of an intermittent pond	astronomical body part
ENVO:00000505	underground irrigation canal	astronomical body part
ENVO:00000506	intermittently filled reservoir	astronomical body part
ENVO:00000507	wadi mouth	astronomical body part
ENVO:00000508	terrace	astronomical body part
ENVO:00000509	marine terrace	astronomical body part
ENVO:00000510	meander neck	astronomical body part
ENVO:00000511	blanket bog	wetland ecosystem
ENVO:00000512	pond bed	astronomical body part
ENVO:00000513	reservoir bed	astronomical body part
ENVO:00000514	crater	astronomical body part
ENVO:00000515	road cut	astronomical body part
ENVO:00000516	hummock	astronomical body part
ENVO:00000517	lost stream	astronomical body part
ENVO:00000518	ditch mouth	astronomical body part
ENVO:00000519	agricultural terrace	astronomical body part
ENVO:00000520	landslide	astronomical body part
ENVO:00000521	rockfall	astronomical body part
ENVO:00000522	canal tunnel	astronomical body part
ENVO:00000523	cutoff	astronomical body part
ENVO:00000524	abandoned watercourse	astronomical body part
ENVO:00000525	canalized stream	astronomical body part
ENVO:00000526	cliff cleft	astronomical body part
ENVO:00000527	interfluve	astronomical body part
ENVO:00000528	ice cap ridge	astronomical body part
ENVO:00000529	beach ridge	astronomical body part
ENVO:00000530	apron	astronomical body part
ENVO:00000531	ice cap depression	astronomical body part
ENVO:00000532	intermittent saline evaporation pond	astronomical body part
ENVO:00000533	landfill	astronomical body part
ENVO:00000534	riverine pothole	astronomical body part
ENVO:00000535	weir	astronomical body part
ENVO:00000536	moatan	astronomical body part
ENVO:00000537	boulder field	astronomical body part
ENVO:00000538	arrugado	astronomical body part
ENVO:00000539	geographic sill	astronomical body part
ENVO:00000540	brackish lake	astronomical body part
ENVO:00000541	brackish pond	astronomical body part
ENVO:00000542	kame	astronomical body part
ENVO:00000543	swale	astronomical body part
ENVO:00000544	leat	astronomical body part
ENVO:00000545	shingle beach	astronomical body part
ENVO:00000547	waterhole	astronomical body part
ENVO:00000548	gravel field	astronomical body part
ENVO:00000549	container of an intermittent water body	astronomical body part
ENVO:00000550	range of seamounts	astronomical body part
ENVO:00000551	endorheic basin	astronomical body part
ENVO:00000552	talik	astronomical body part
ENVO:00000553	multipurpose dam	astronomical body part
ENVO:00000554	saddle dam	astronomical body part
ENVO:00000555	check dam	astronomical body part
ENVO:00000556	wing dam	astronomical body part
ENVO:00000557	dry dam	astronomical body part
ENVO:00000558	diversionary dam	astronomical body part
ENVO:00000559	weapons test site	astronomical body part
ENVO:00000560	nuclear weapons test site	astronomical body part
ENVO:00000561	military training area	astronomical body part
ENVO:00000562	park	astronomical body part
ENVO:00000563	pier	astronomical body part
ENVO:00000565	sports facility	astronomical body part
ENVO:00000566	winter sports facility	astronomical body part
ENVO:00000567	calanque	astronomical body part
ENVO:00000856	city	astronomical body part
ENVO:00001996	mine drainage	astronomical body part
ENVO:00001997	acid mine drainage	astronomical body part
ENVO:00001999	marine water body	astronomical body part
ENVO:00002000	slope	astronomical body part
ENVO:00002043	wastewater treatment plant	astronomical body part
ENVO:00002061	oil spill	astronomical body part
ENVO:00002063	oil seep	astronomical body part
ENVO:00002112	gold mine drainage	astronomical body part
ENVO:00002119	alkaline hot spring	astronomical body part
ENVO:00002120	acidic hot spring	astronomical body part
ENVO:00002121	alkaline salt lake	astronomical body part
ENVO:00002128	mesophilic sulfur spring	astronomical body part
ENVO:00002130	hypolimnion	astronomical body part
ENVO:00002131	epilimnion	astronomical body part
ENVO:00002132	metalimnion	astronomical body part
ENVO:00002137	brackish estuary	astronomical body part
ENVO:00002143	calcite hot spring	astronomical body part
ENVO:00002144	cave wall	astronomical body part
ENVO:00002167	platinum mine	astronomical body part
ENVO:00002168	gold mine	astronomical body part
ENVO:00002169	coal mine	astronomical body part
ENVO:00002173	hospital	astronomical body part
ENVO:00002178	iron-reducing zone of petroleum contaminated sediment	environmental zone
ENVO:00002181	neutral hot spring	astronomical body part
ENVO:00002184	subsurface landform	astronomical body part
ENVO:00002185	oil reservoir	astronomical body part
ENVO:00002195	pyritic acid mine drainage	astronomical body part
ENVO:00002199	sandy beach	astronomical body part
ENVO:00002204	anthropogenic contamination feature	astronomical body part
ENVO:00002205	unexploded-ordnance dump	astronomical body part
ENVO:00002214	power plant	astronomical body part
ENVO:00002215	geothermal power plant	astronomical body part
ENVO:00002221	shop	astronomical body part
ENVO:00002222	food shop	astronomical body part
ENVO:00002226	borehole	astronomical body part
ENVO:00002268	sphagnum bog	wetland ecosystem
ENVO:00002271	nuclear power plant	astronomical body part
ENVO:00002272	waste treatment plant	astronomical body part
ENVO:00002277	back-arc basin	astronomical body part
ENVO:00002450	ocean basin	astronomical body part
ENVO:00002926	warm seep	astronomical body part
ENVO:00003040	animal house	astronomical body part
ENVO:00003041	cow shed	astronomical body part
ENVO:00003042	piggery	astronomical body part
ENVO:00003043	sewage plant	astronomical body part
ENVO:00003323	tannery	astronomical body part
ENVO:00003861	industrial building	astronomical body part
ENVO:00003862	dairy	astronomical body part
ENVO:00003863	food processing building	astronomical body part
ENVO:00003864	bakery	astronomical body part
ENVO:00003885	brewery	astronomical body part
ENVO:00003911	sake brewery	astronomical body part
ENVO:00003919	research station	astronomical body part
ENVO:00003963	warehouse	astronomical body part
ENVO:00003964	tobacco warehouse	astronomical body part
ENVO:00003967	creamery	astronomical body part
ENVO:00004638	sawmill	astronomical body part
