fieldsample_barcode	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	habitat_type	source_signal	source_code	source_project	source_file	latitude	longitude
MFD06417	Soil	Natural	Dunes	Inland dunes	Inland dunes Empetrum nigrum	natural_soil	natura2000	2320	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27696739	8.50078642
MFD06418	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01952328	8.46909115
MFD06419	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01878666	8.4536151
MFD06420	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0162265	8.46857438
MFD06421	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02238923	8.46355936
MFD06422	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31440333	8.1303907
MFD06423	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01881084	8.45662369
MFD06424	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01557894	8.46915074
MFD06425	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01847967	8.45325187
MFD06426	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31497912	8.13315667
MFD06427	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01435608	8.45082555
MFD06428	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.11040168	9.69916109
MFD06429	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.09890799	9.72119288
MFD06430	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01575994	8.46570125
MFD06431	Soil	Natural	Dunes	Sea dunes		natural_soil	natura2000	2100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.3079604	8.13469977
MFD06432	Soil	Natural	Dunes	Inland dunes	Inland dunes Empetrum nigrum	natural_soil	natura2000	2320	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27707745	8.49903399
MFD06433	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30717107	8.1360245
MFD06434	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.09489121	9.72138984
MFD06435	Soil	Natural				natural_soil	sampletype		P08_5	2022-07-08_mfd-metadata-sustainscapes.xlsx	57.0278885	8.46320698
MFD06436	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.11526217	9.70585344
MFD06437	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31531808	8.13135626
MFD06438	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02193931	8.46057337
MFD06439	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01829344	8.47400122
MFD06440	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.3109035	8.12848096
MFD06441	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27743104	8.50151216
MFD06442	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02292455	8.45875851
MFD06443	Soil	Natural	Dunes	Sea dunes	Humid dune slacks	natural_soil	natura2000	2190	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30745676	8.13175718
MFD06444	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31372134	8.12860242
MFD06445	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31496584	8.13153864
MFD06446	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01934615	8.46966628
MFD06447	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0147765	8.45038337
MFD06448	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0155771	8.45497554
MFD06449	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01811353	8.46837723
MFD06450	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01602868	8.46255238
MFD06451	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01707641	8.46771911
MFD06452	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01489015	8.45744044
MFD06453	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01635869	8.45770503
MFD06454	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01769782	8.46591015
MFD06455	Soil	Natural	Dunes	Sea dunes	Humid dune slacks	natural_soil	natura2000	2190	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30750648	8.13240477
MFD06456	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01384376	8.465200625
MFD06457	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0236398	8.46808639
MFD06458	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.1101585	9.7178444
MFD06459	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01414329	8.45500989
MFD06460	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31234305	8.13023714
MFD06461	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01826409	8.45937481
MFD06462	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01627443	8.46388351
MFD06463	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01594188	8.46732907
MFD06464	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01674519	8.46847315
MFD06465	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01811533	8.46563081
MFD06466	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02008306	8.45663653
MFD06467	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30303266	8.1341587
MFD06468	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02779591	8.46591433
MFD06469	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01562475	8.47269538
MFD06470	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0204429	8.45650878
MFD06471	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02589539	8.46287339
MFD06472	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01443011	8.45017521
MFD06473	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01671743	8.4678125
MFD06474	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02006004	8.4559756
MFD06475	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30703281	8.1339881
MFD06476	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31394985	8.12830724
MFD06477	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01780878	8.4549538
MFD06478	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0175535	8.46651256
MFD06479	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02014557	8.45925798
MFD06480	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0241176	8.46320806
MFD06481	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.10325406	9.719114865
MFD06482	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27052906	8.50973719
MFD06483	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.03133763	8.46688618
MFD06484	Soil	Natural	Dunes	Sea dunes	Humid dune slacks	natural_soil	natura2000	2190	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30775686	8.13299423
MFD06485	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02330434	8.4666327
MFD06486	Soil	Natural	Dunes	Sea dunes	Humid dune slacks	natural_soil	natura2000	2190	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30858612	8.12942347
MFD06487	Soil	Natural	Dunes	Sea dunes	Humid dune slacks	natural_soil	natura2000	2190	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02784304	8.4652587
MFD06488	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02284977	8.46621614
MFD06489	Soil	Natural	Dunes			natural_soil	natura2000	2000	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30140169	8.1349737
MFD06490	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02340135	8.46855015
MFD06491	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.3026698	8.134068005
MFD06492	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31053623	8.12846109
MFD06493	Soil	Natural	Dunes	Inland dunes	Inland dunes Empetrum nigrum	natural_soil	natura2000	2320	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27748924	8.50144934
MFD06494	Soil	Natural				natural_soil	sampletype		P08_5	2022-07-08_mfd-metadata-sustainscapes.xlsx	56.10222983	9.71987843
MFD06495	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0242693	8.46108005
MFD06496	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.25450595	8.51318608
MFD06497	Soil	Natural	Dunes	Sea dunes	Dunes creeping willow	natural_soil	natura2000	2170	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02973979	8.46370474
MFD06498	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30453023	8.132653865
MFD06499	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.2749477	8.50076582
MFD06500	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01582463	8.47343693
MFD06501	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30664793	8.13465267
MFD06502	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	natural_soil	natura2000	2130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02141266	8.45530265
MFD06503	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.26709809	8.511033082
MFD06504	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.31297885	8.13183149
MFD06505	Soil	Natural	Dunes			natural_soil	natura2000	2000	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30131802	8.13582042
MFD06506	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows		natural_soil	natura2000	6400	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.10712627	9.71677669
MFD06507	Soil	Natural				natural_soil	sampletype		P08_5	2022-07-08_mfd-metadata-sustainscapes.xlsx	56.10304779	9.72024024
MFD06508	Soil	Natural	Dunes	Sea dunes		natural_soil	natura2000	2100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30119202	8.13708826
MFD06509	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	natural_soil	natura2000	4010	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.28114957	8.4913449
MFD06510	Soil	Natural	Dunes			natural_soil	natura2000	2000	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30129254	8.13647468
MFD06511	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27705232	8.49733846
MFD06512	Soil	Natural	Bogs, mires and fens			natural_soil	natura2000	7000	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.10450635	9.71777128
MFD06513	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.30264035	8.13704646
MFD06514	Soil	Natural	Sclerophyllous scrub	Scrub	Juniper scrub	natural_soil	natura2000	5130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.26302254	8.50847886
MFD06515	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.10611872	9.71328662
MFD06516	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains	natural_soil	natura2000	9190	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.22818753	10.5835504
MFD06517	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.2586649	8.45147645
MFD06518	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains	natural_soil	natura2000	9190	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.22561744	10.59329816
MFD06519	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	natural_soil	natura2000	6410	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.22703985	10.58880296
MFD06520	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs	natural_soil	natura2000	7140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.2769189	8.4731647
MFD06521	Soil	Natural	Grassland formations	Semi-natural dry grasslands		natural_soil	natura2000	6200	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.22822201	10.59159926
MFD06522	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	natural_soil	natura2000	2140	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02940855	8.4749434
MFD06523	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.20771581	10.12089578
MFD06524	Soil	Natural				natural_soil	sampletype		P08_5	2022-07-08_mfd-metadata-sustainscapes.xlsx	56.47051197	9.837258135
MFD06525	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.26461247	8.47287144
MFD06526	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	natural_soil	natura2000	6230	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.28098028	8.46523762
MFD06527	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27363452	8.44296236
MFD06528	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02178324	8.47332078
MFD06529	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.26447084	8.473325
MFD06530	Soil	Natural	Dunes	Sea dunes	Dunes creeping willow	natural_soil	natura2000	2170	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.01652934	8.45071433
MFD06531	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	natural_soil	natura2000	6410	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.20810241	10.12142769
MFD06532	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.02617143	8.47159942
MFD06533	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27786099	8.43143008
MFD06534	Soil	Natural	Bogs, mires and fens			natural_soil	natura2000	7000	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.20665278	10.11766244
MFD06535	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.28733506	8.41993578
MFD06536	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains	natural_soil	natura2000	9190	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.48213496	9.830679835
MFD06537	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum	natural_soil	natura2000	9130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.47148148	9.82510636
MFD06538	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.47927935	9.8079784
MFD06539	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	natural_soil	natura2000	6230	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.23058128	10.57247971
MFD06540	Soil	Natural	Bogs, mires and fens			natural_soil	natura2000	7000	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.20686641	10.11731024
MFD06541	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum	natural_soil	natura2000	9130	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.46551951	9.851538625
MFD06542	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	57.0261036	8.47225483
MFD06543	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.4815802	9.828703745
MFD06544	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27279937	8.47158668
MFD06545	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	natural_soil	natura2000	4010	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.28684381	8.44556628
MFD06546	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows		natural_soil	natura2000	6400	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.48341903	9.83262177
MFD06547	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27784472	8.43770785
MFD06548	Soil	Natural				natural_soil	sampletype		P08_5	2022-07-08_mfd-metadata-sustainscapes.xlsx	57.02815354	8.46433379
MFD06549	Soil	Natural	Forests	Temperate forests		natural_soil	natura2000	9100	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.27265954	8.46506989
MFD06550	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	natural_soil	natura2000	6230	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.22696213	10.56551976
MFD06551	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.28191778	8.43953478
MFD06552	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.28429859	8.46394402
MFD06553	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	natural_soil	natura2000	6410	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.48987832	9.85171714
MFD06554	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	natural_soil	natura2000	4030	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.28804269	8.43950125
MFD06555	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	natural_soil	natura2000	7230	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.48215776	9.82496517
MFD06556	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens	natural_soil	natura2000	7230	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.26783896	8.47962747
MFD06557	Soil	Natural	Forests	Temperate forests	Oak-hornbeam mixed forest	natural_soil	natura2000	9160	P08_5	230524_SustainScapes_MFD_HabitatClasses_ForVibeke.txt	56.47795459	9.84031274
