fieldsample_barcode	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	habitat_type	source_signal	source_code	source_project	source_file	latitude	longitude
MFD00099	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00100	Sediment	Natural	Freshwater	Standing freshwater	Lake shores and lagoons		natura2000	1150	P09_1	P09_1_filled_table.xlsx		
MFD00101	Sediment	Natural	Freshwater	Standing freshwater	Lake shores and lagoons		natura2000	1150	P09_1	P09_1_filled_table.xlsx		
MFD00103	Soil	Natural	Bogs, mires and fens	Calcareous fens	Alkaline fens		natura2000	7230	P08_1	P08_1_filled_table.xlsx		
MFD00104	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic		natura2000	3160	P09_1	P09_1_filled_table.xlsx		
MFD00105	Sediment	Natural	Freshwater	Standing freshwater			natura2000	3100	P09_1	P09_1_filled_table.xlsx		
MFD00106	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis		natura2000	3130	P09_1	P09_1_filled_table.xlsx		
MFD00107	Soil	Natural	Forests	Temperate forests	Alluvial woodland		natura2000	91E0	P08_1	P08_1_filled_table.xlsx		
MFD00108	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00109	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00111	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00112	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic		natura2000	3160	P09_1	P09_1_filled_table.xlsx		
MFD00113	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00114	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed		natura2000	3150	P09_1	P09_1_filled_table.xlsx		
MFD00116	Sediment	Natural	Freshwater	Standing freshwater	Lake shores and lagoons		natura2000	1150	P09_1	P09_1_filled_table.xlsx		
MFD00118	Soil	Natural	Forests	Temperate forests	Old acidophilous oak woods with Q. robur on sandy plains		natura2000	9190	P08_1	P08_1_filled_table.xlsx		
MFD00120	Soil	Natural	Forests	Temperate forests	Beech forests Asperulo-Fagetum		natura2000	9130	P08_1	P08_1_filled_table.xlsx		
MFD00121	Soil	Natural	Forests	Temperate forests	Oak-hornbeam mixed forest		natura2000	9160	P08_1	P08_1_filled_table.xlsx		
MFD00122	Soil	Natural	Forests	Temperate forests	Beech forests Limestone		natura2000	9150	P08_1	P08_1_filled_table.xlsx		
MFD00123	Soil	Natural	Forests	Temperate forests	Beech forests Limestone		natura2000	9150	P08_1	P08_1_filled_table.xlsx		
MFD00124	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland		natura2000	6230	P08_1	P08_1_filled_table.xlsx		
MFD00125	Soil	Natural	Forests	Temperate forests	Beech forests Luzulo-Fagetum		natura2000	9110	P08_1	P08_1_filled_table.xlsx		
MFD00126	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath		natura2000	4030	P08_1	P08_1_filled_table.xlsx		
